Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,6726
Base Time Seconds,1731599641
Base Time Fractional,.812043560
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
36,157.9556807519,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999284744263,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.704522380
37,157.9471455107,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.787163780
38,157.9390153464,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.869817240
39,157.9308728057,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:04,.952458180
40,157.9232685211,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999279975891,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.035109960
41,157.9149065972,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.117755720
42,157.9067389228,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999301433563,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.200401860
43,157.8989900654,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999303817749,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.283057360
44,157.8910465291,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999279975891,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.365699720
45,157.8828957454,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999287128448,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.448331880
46,157.8749779443,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.530989820
47,157.8669028559,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.613625280
48,157.8592407082,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.696266900
49,157.8512773151,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999308586121,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.778906840
50,157.8434514261,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999299049377,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.861565080
51,157.8359655646,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:05,.944210800
52,157.8283095182,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999275207520,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.026865940
53,157.8202129073,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.109505640
54,157.812619196,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999279975891,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.192145600
55,157.8044865869,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999294281006,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.274805240
56,157.7972566703,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9999284744263,Volt DC,1,T,2W,F,F,11/14/2024,15:54:06,.357446060
