Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,7201
Base Time Seconds,1731598089
Base Time Fractional,.869802100
Base Time,11/14/2024 15:28:09.869802100
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Relative Time
121.6141602736,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997205734253,Volt DC,1,T,2W,F,F,0.000000000
121.6142066658,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997222423553,Volt DC,1,T,2W,F,F,0.082697660
121.6141319819,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997225999832,Volt DC,1,T,2W,F,F,0.165383320
121.6141689702,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997211694717,Volt DC,1,T,2W,F,F,0.248067800
121.6142675736,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997218847275,Volt DC,1,T,2W,F,F,0.330752080
121.6142124689,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997218847275,Volt DC,1,T,2W,F,F,0.413435780
121.6141754966,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997210502625,Volt DC,1,T,2W,F,F,0.496114400
121.6141174823,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997223615646,Volt DC,1,T,2W,F,F,0.578802280
121.6143567574,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997217655182,Volt DC,1,T,2W,F,F,0.661497920
121.6141218386,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997215270996,Volt DC,1,T,2W,F,F,0.744184440
121.6144249152,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997215270996,Volt DC,1,T,2W,F,F,0.826862740
121.6141776667,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997217655182,Volt DC,1,T,2W,F,F,0.909543920
121.6140116293,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997215270996,Volt DC,1,T,2W,F,F,0.992241620
121.6141363382,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997217655182,Volt DC,1,T,2W,F,F,1.074926720
121.6142697437,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997225999832,Volt DC,1,T,2W,F,F,1.157612080
121.6139681149,Ohm,1000,5.5,F,F,F,F,F,F,Rear,F,Main,1.9997230768204,Volt DC,1,T,2W,F,F,1.240299400
